LocationDesc,AgeGroup,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Subjective cognitive decline or memory loss among older adults,Talked with health care professional about subjective cognitive decline or memory loss
Alabama,0.0,54.18666666666666,44.28666666666666,14.153333333333334,49.28
Alabama,1.0,37.81333333333334,36.14,13.806666666666667,38.36666666666667
Alabama,2.0,46.986666666666665,40.67333333333333,13.986666666666668,44.49333333333333
Alaska,0.0,37.4,39.075,8.008333333333333,47.46
Alaska,1.0,29.52857142857143,26.860000000000003,12.258333333333333,42.39
Alaska,2.0,30.71,30.53,9.784615384615385,43.78333333333333
Arizona,0.0,48.550000000000004,40.050000000000004,10.313333333333333,48.449999999999996
Arizona,1.0,26.233333333333334,28.099999999999998,11.706666666666667,40.9
Arizona,2.0,39.28,38.1,10.988235294117647,43.92666666666666
Arkansas,0.0,53.64,46.230000000000004,13.413333333333334,51.11
Arkansas,1.0,34.71666666666667,31.508333333333336,13.207142857142857,32.3
Arkansas,2.0,45.43076923076923,40.76923076923077,13.18,43.37692307692308
California,0.0,40.233333333333334,39.96666666666667,8.763636363636364,51.03333333333333
California,1.0,27.266666666666666,36.2,12.830000000000002,38.325
California,2.0,34.15,29.516666666666666,9.953333333333335,43.61666666666667
Colorado,0.0,40.575,27.175,12.940000000000001,47.625
Colorado,1.0,17.65,18.8,10.45,45.7
Colorado,2.0,31.925,23.975,12.3,46.85
Connecticut,0.0,42.833333333333336,29.663636363636364,7.814285714285715,59.71666666666667
Connecticut,1.0,22.781818181818185,21.927272727272726,8.6,42.208333333333336
Connecticut,2.0,33.074999999999996,26.258333333333336,8.4,51.083333333333336
Delaware,0.0,45.0,48.92,7.664285714285714,57.82000000000001
Delaware,1.0,33.766666666666666,25.58571428571429,9.866666666666667,39.81111111111111
Delaware,2.0,30.991666666666664,32.725,8.506666666666666,44.791666666666664
District of Columbia,0.0,48.86666666666667,38.4,11.447058823529412,50.15
District of Columbia,1.0,36.88,34.53,10.815000000000001,49.36363636363637
District of Columbia,2.0,42.65625,34.694736842105264,10.620000000000001,51.59473684210526
Florida,0.0,43.336363636363636,41.93636363636364,12.475,49.809090909090905
Florida,1.0,31.321428571428573,30.814285714285713,14.5,44.528571428571425
Florida,2.0,39.9125,39.975,12.761111111111111,47.18125
Georgia,0.0,47.58125,39.875,11.709999999999999,49.55625
Georgia,1.0,30.958823529411763,31.08823529411765,13.055000000000001,39.92352941176471
Georgia,2.0,43.269999999999996,38.585,12.604545454545455,46.015
Hawaii,0.0,42.34,33.21666666666667,6.985714285714285,38.36666666666667
Hawaii,1.0,33.625,24.27058823529412,9.145,32.77222222222222
Hawaii,2.0,36.38,26.130000000000003,8.104166666666666,33.22
Idaho,0.0,43.24166666666667,29.439999999999998,10.066666666666666,45.625
Idaho,1.0,25.083333333333332,22.650000000000002,10.541666666666666,37.675000000000004
Idaho,2.0,34.483333333333334,25.75,10.291666666666666,41.708333333333336
Illinois,0.0,43.666666666666664,36.699999999999996,5.87,55.93333333333334
Illinois,1.0,37.4625,36.85,10.215384615384616,41.5
Illinois,2.0,45.7,42.85,8.2,44.1
Indiana,0.0,43.49166666666667,39.1,11.173333333333334,50.98333333333333
Indiana,1.0,26.3,22.40833333333333,12.435714285714285,40.208333333333336
Indiana,2.0,35.833333333333336,31.583333333333332,11.606666666666666,46.166666666666664
Iowa,0.0,29.441666666666666,24.216666666666665,9.641666666666667,40.25
Iowa,1.0,23.2,19.10909090909091,11.133333333333333,33.583333333333336
Iowa,2.0,25.825,21.433333333333334,10.299999999999999,36.891666666666666
Kansas,0.0,39.699999999999996,33.475,10.216666666666667,46.833333333333336
Kansas,1.0,26.691666666666666,23.900000000000002,12.041666666666666,41.96666666666667
Kansas,2.0,33.19166666666667,28.641666666666666,11.115384615384615,44.34166666666667
Kentucky,0.0,46.833333333333336,41.65833333333333,11.930769230769231,48.43333333333334
Kentucky,1.0,34.760000000000005,36.96,11.625,33.541666666666664
Kentucky,2.0,42.07692307692308,38.26153846153846,11.784615384615384,41.75384615384615
Louisiana,0.0,51.56923076923077,42.74615384615385,14.966666666666667,44.43846153846154
Louisiana,1.0,39.10833333333333,35.99166666666667,14.120000000000001,41.449999999999996
Louisiana,2.0,48.279999999999994,43.58,14.54,43.559999999999995
Maine,0.0,35.15625,31.457142857142856,8.7625,57.3875
Maine,1.0,19.873333333333335,17.173333333333336,9.875,47.0375
Maine,2.0,27.5125,22.875,9.3,52.1
Maryland,0.0,38.12,31.326666666666664,8.855,57.60666666666667
Maryland,1.0,24.446153846153848,23.915384615384614,11.16842105263158,40.306666666666665
Maryland,2.0,32.152631578947364,28.652631578947368,9.855,49.247368421052634
Massachusetts,0.0,30.85,27.125,11.4,55.525
Massachusetts,1.0,27.7,22.825,8.625,48.0
Massachusetts,2.0,28.475,25.475,10.34,52.5
Michigan,0.0,41.84615384615385,34.36923076923077,12.092592592592593,47.83076923076923
Michigan,1.0,26.6125,28.315384615384616,11.4125,42.483333333333334
Michigan,2.0,33.94583333333333,32.0875,11.906666666666666,44.80416666666667
Midwest,0.0,50.323076923076925,38.65660377358491,10.725925925925926,45.028301886792455
Midwest,1.0,31.023076923076925,28.48076923076923,11.845454545454546,38.355555555555554
Midwest,2.0,44.1925925925926,36.00178571428571,11.24181818181818,41.978181818181824
Minnesota,0.0,39.59166666666667,28.983333333333334,8.338461538461539,45.050000000000004
Minnesota,1.0,17.958333333333332,16.01666666666667,10.658333333333333,38.50833333333333
Minnesota,2.0,28.28333333333333,22.09166666666667,10.35625,41.675000000000004
Mississippi,0.0,57.185,51.1,13.580000000000002,47.14
Mississippi,1.0,44.800000000000004,42.31578947368421,12.260000000000002,43.47894736842105
Mississippi,2.0,51.754999999999995,47.33,13.0,45.464999999999996
Missouri,0.0,41.31666666666666,38.233333333333334,10.783333333333333,55.5
Missouri,1.0,29.866666666666664,34.19166666666667,10.94,37.483333333333334
Missouri,2.0,35.93333333333333,36.30833333333333,10.493333333333334,46.791666666666664
Montana,0.0,41.85,32.8,9.725,58.725
Montana,1.0,29.95,26.875,13.38,35.05
Montana,2.0,36.025,29.925,11.02,47.25
Nebraska,0.0,41.5,27.75,8.483333333333333,52.71666666666667
Nebraska,1.0,25.983333333333334,23.833333333333332,11.683333333333332,32.88333333333333
Nebraska,2.0,32.96666666666666,25.608333333333334,9.991666666666665,41.65
Nevada,0.0,39.08,30.1,12.892857142857142,54.739999999999995
Nevada,1.0,22.9,24.5,14.50625,42.40833333333333
Nevada,2.0,30.87857142857143,24.625,13.51875,43.228571428571435
New Hampshire,0.0,36.38333333333333,29.130000000000003,6.766666666666667,48.410000000000004
New Hampshire,1.0,29.245454545454546,26.61818181818182,9.058333333333334,46.85
New Hampshire,2.0,32.44166666666667,26.816666666666666,7.791666666666667,47.26666666666667
New Jersey,0.0,39.357142857142854,33.35,9.353846153846153,46.878571428571426
New Jersey,1.0,29.839999999999996,23.46666666666667,10.529166666666667,40.54375
New Jersey,2.0,37.79130434782609,32.34285714285714,9.961538461538462,44.39565217391304
New Mexico,0.0,56.22666666666667,50.45333333333333,13.141176470588235,49.126666666666665
New Mexico,1.0,34.94666666666667,29.526666666666664,13.66,40.906666666666666
New Mexico,2.0,45.28,39.54,13.38888888888889,44.913333333333334
New York,0.0,45.08571428571428,35.20952380952381,10.463888888888889,51.171428571428564
New York,1.0,34.28095238095238,31.559999999999995,10.883870967741935,41.21666666666667
New York,2.0,41.06428571428571,33.85357142857143,10.802380952380952,46.010714285714286
North Carolina,0.0,52.65,44.4,11.611764705882353,54.15
North Carolina,1.0,38.19166666666667,37.21666666666667,8.893333333333334,43.0
North Carolina,2.0,45.75384615384615,41.91538461538461,11.13529411764706,50.53846153846154
North Dakota,0.0,33.88,28.3,9.03076923076923,43.980000000000004
North Dakota,1.0,22.116666666666664,21.11,10.966666666666667,31.391666666666666
North Dakota,2.0,27.008333333333336,22.650000000000002,10.753846153846155,36.5
Northeast,0.0,49.458181818181814,40.455357142857146,11.42962962962963,50.98571428571428
Northeast,1.0,43.760714285714286,37.653571428571425,12.17222222222222,39.25535714285714
Northeast,2.0,47.09074074074074,39.05185185185186,12.05185185185185,45.92962962962962
Ohio,0.0,44.1125,36.275,10.383333333333333,51.81875
Ohio,1.0,25.48125,21.375,10.627777777777778,37.41875
Ohio,2.0,35.24375,29.06875,10.355,45.025
Oklahoma,0.0,52.0,45.7625,14.291666666666666,53.8875
Oklahoma,1.0,36.45,30.78,13.5,42.57
Oklahoma,2.0,44.13333333333333,37.675,14.684615384615386,48.13333333333333
Oregon,0.0,42.656000000000006,35.528,10.1,54.11600000000001
Oregon,1.0,23.748,22.67037037037037,12.271428571428572,40.45357142857143
Oregon,2.0,31.935714285714287,28.34642857142857,11.303448275862069,46.271428571428565
Pennsylvania,0.0,38.516666666666666,29.883333333333336,10.714285714285714,53.5
Pennsylvania,1.0,26.55454545454546,24.25,10.492857142857144,47.5
Pennsylvania,2.0,32.75833333333333,27.183333333333334,10.78,50.6
Puerto Rico,0.0,70.24444444444445,67.3111111111111,7.05,75.43333333333334
Puerto Rico,1.0,55.54,52.96,4.82,57.2
Puerto Rico,2.0,65.68666666666667,65.02,6.33125,62.419999999999995
Rhode Island,0.0,44.833333333333336,38.25,12.84,57.175000000000004
Rhode Island,1.0,33.550000000000004,23.508333333333336,10.158333333333333,49.458333333333336
Rhode Island,2.0,40.0,32.06666666666667,12.846666666666666,54.025
South,0.0,52.64791666666667,44.64791666666667,12.442553191489361,46.893750000000004
South,1.0,39.77391304347826,35.18043478260869,12.187234042553191,38.87826086956522
South,2.0,47.65416666666667,41.18125,12.141666666666666,42.86666666666667
South Carolina,0.0,48.65384615384615,41.31333333333334,12.453333333333335,47.49230769230769
South Carolina,1.0,34.33846153846154,30.053846153846152,11.0,41.16153846153846
South Carolina,2.0,43.3,36.93333333333333,11.82,44.766666666666666
South Dakota,0.0,42.57272727272727,30.61111111111111,7.392307692307692,46.03636363636363
South Dakota,1.0,38.975,25.685714285714287,9.491666666666667,35.18
South Dakota,2.0,32.30833333333333,23.383333333333336,8.323076923076924,38.19166666666667
Tennessee,0.0,57.5625,46.76875,14.710526315789474,53.6625
Tennessee,1.0,38.3,29.85,12.32,40.15
Tennessee,2.0,50.61764705882353,40.91764705882353,13.61,48.911764705882355
Texas,0.0,53.50714285714286,48.364285714285714,11.816666666666666,50.699999999999996
Texas,1.0,41.542857142857144,32.35,12.63529411764706,33.628571428571426
Texas,2.0,50.11176470588235,44.45882352941177,12.43888888888889,43.80555555555556
"United States, DC & Territories",0.0,50.144642857142856,41.75535714285714,11.0,48.57142857142857
"United States, DC & Territories",1.0,38.4,35.79285714285714,11.973214285714286,39.28928571428571
"United States, DC & Territories",2.0,44.72678571428571,39.0375,11.4125,44.458928571428565
Utah,0.0,38.11052631578948,32.32105263157895,9.254166666666666,48.95789473684211
Utah,1.0,23.45909090909091,20.475,13.933333333333332,38.56666666666667
Utah,2.0,29.620833333333334,25.179166666666664,11.316666666666668,43.15416666666667
Vermont,0.0,37.32000000000001,25.76,7.5249999999999995,49.730000000000004
Vermont,1.0,28.78,28.5,8.975,43.05833333333334
Vermont,2.0,30.75,27.169999999999998,8.241666666666667,46.63333333333333
Virginia,0.0,41.87692307692308,34.815384615384616,9.793333333333333,53.26153846153846
Virginia,1.0,23.366666666666664,20.45,10.620000000000001,45.21666666666667
Virginia,2.0,36.86,31.9,10.106666666666666,49.906666666666666
Washington,0.0,38.275,27.95,10.428571428571429,47.94166666666666
Washington,1.0,28.299999999999997,24.341666666666665,10.25,47.083333333333336
Washington,2.0,33.59166666666666,26.266666666666666,11.4,47.525
West,0.0,45.8811320754717,35.412962962962965,10.578181818181818,47.04615384615385
West,1.0,28.22909090909091,25.923636363636362,12.266037735849057,39.14909090909091
West,2.0,38.721428571428575,31.26607142857143,11.245454545454546,44.234545454545454
West Virginia,0.0,53.21666666666667,38.31666666666666,13.808333333333332,51.525
West Virginia,1.0,35.016666666666666,32.824999999999996,10.441666666666666,41.608333333333334
West Virginia,2.0,45.60833333333333,36.15833333333333,12.158333333333333,47.300000000000004
Wisconsin,0.0,36.239999999999995,31.830000000000002,9.533333333333333,50.9
Wisconsin,1.0,21.683333333333334,18.1,11.358333333333334,38.166666666666664
Wisconsin,2.0,29.474999999999998,25.025000000000002,10.35,44.324999999999996
Wyoming,0.0,34.2,28.9875,8.066666666666666,43.4125
Wyoming,1.0,24.990000000000002,19.61,10.191666666666666,32.80833333333333
Wyoming,2.0,30.633333333333336,24.5,9.075,38.26666666666667
