LocationDesc,AgeGroup,Arthritis among older adults,"Disability status, including sensory or mobility limitations",Fair or poor health among older adults with arthritis,Fall with injury within last year,Oral health:  tooth retention,Physically unhealthy days (mean number of days),Prevalence of sufficient sleep,Recent activity limitations in past month,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Severe joint pain among older adults with arthritis,Taking medication for high blood pressure
Alabama,0.0,46.67,41.5,43.045,12.16,68.62666666666668,6.2,59.5,8.183333333333334,29.683333333333334,70.31666666666666,47.00666666666667,87.88000000000001
Alabama,1.0,58.89,49.06399999999999,42.13,9.773333333333333,53.79333333333333,6.153333333333333,70.53999999999999,6.739999999999999,33.70666666666667,66.29333333333334,34.06666666666667,94.18666666666667
Alabama,2.0,53.88695652173914,46.84074074074074,42.45,11.1,62.233333333333334,6.575757575757576,64.46,7.566666666666666,32.91212121212121,67.0878787878788,40.61333333333334,90.97333333333333
Alaska,0.0,32.14,27.6,30.964999999999996,14.235714285714286,79.52,4.9433333333333325,65.46666666666667,5.73103448275862,19.176666666666666,80.82333333333332,26.23,70.31428571428572
Alaska,1.0,49.54,43.6,29.872222222222224,12.036363636363637,65.78666666666666,5.17,73.66000000000001,5.803703703703703,23.253333333333334,76.74666666666667,20.3,83.26428571428572
Alaska,2.0,38.755,33.688,30.964999999999996,13.4,74.28,5.03,68.56666666666666,5.6866666666666665,20.706666666666667,79.29333333333334,24.229999999999997,76.74666666666667
Arizona,0.0,33.278571428571425,34.494285714285716,43.80869565217392,10.711764705882352,79.64761904761905,5.9743589743589745,65.63333333333333,7.300000000000001,28.148717948717948,72.66904761904762,38.64705882352941,79.88333333333334
Arizona,1.0,47.01481481481482,43.68529411764706,35.55238095238095,10.61875,65.64,5.476315789473684,72.925,6.203030303030303,28.487179487179485,71.60249999999999,28.05625,91.1888888888889
Arizona,2.0,38.099999999999994,38.019444444444446,41.12,11.263157894736842,74.51739130434783,5.7976190476190474,67.72173913043478,6.95,28.278048780487808,73.61304347826086,35.94210526315789,86.25
Arkansas,0.0,43.83,42.736000000000004,47.335,14.986666666666668,68.58666666666666,6.86,62.026666666666664,8.193333333333333,33.57666666666667,66.42333333333333,46.88,88.69333333333334
Arkansas,1.0,54.085,51.416000000000004,42.305,10.484615384615385,51.74,6.496666666666667,74.80666666666666,6.637931034482759,34.516666666666666,65.48333333333333,31.386666666666667,93.28
Arkansas,2.0,48.78695652173913,48.81071428571429,44.785000000000004,13.106666666666666,58.9375,7.06764705882353,67.2125,7.536666666666666,35.775757575757574,64.5529411764706,39.18,91.01333333333334
California,0.0,27.788888888888888,27.96764705882353,36.57272727272727,9.9,85.8952380952381,4.782926829268293,62.219047619047615,6.6189189189189195,24.176315789473687,77.08809523809524,36.96470588235294,79.05499999999999
California,1.0,47.45925925925926,42.43939393939394,34.46363636363637,11.233333333333333,70.58500000000001,5.225641025641026,68.295,6.423529411764706,27.7375,72.6609756097561,27.923529411764704,89.17999999999999
California,2.0,36.00967741935484,34.82432432432432,34.852,10.376470588235295,78.9590909090909,5.156818181818182,63.99090909090909,6.37,25.786046511627905,74.86521739130436,32.67368421052631,84.07142857142857
Colorado,0.0,31.59166666666667,24.03793103448276,30.47,10.706666666666667,84.83529411764707,4.54,68.99444444444445,5.3100000000000005,20.17142857142857,80.03888888888889,28.866666666666667,76.20625
Colorado,1.0,49.26666666666667,36.11379310344827,26.310000000000002,10.586666666666668,70.70555555555556,4.797058823529412,75.65555555555555,5.413333333333333,22.438888888888886,77.5611111111111,23.74,88.61176470588236
Colorado,2.0,38.72222222222222,28.91875,30.6125,11.594117647058823,79.33333333333333,4.794871794871795,70.70952380952382,5.611428571428571,21.7625,78.92093023255813,27.744444444444444,83.67222222222222
Connecticut,0.0,30.258333333333336,27.243333333333332,34.229166666666664,9.0375,83.11052631578947,4.452777777777778,63.325,6.061111111111111,20.302777777777777,81.1425,35.455555555555556,82.03333333333333
Connecticut,1.0,48.45416666666667,39.38333333333333,30.142857142857142,8.569230769230769,66.72222222222223,4.871428571428571,70.96666666666667,5.390322580645161,26.197222222222223,73.80277777777778,23.46875,92.125
Connecticut,2.0,36.1037037037037,32.29333333333333,33.40833333333333,8.870588235294118,77.65238095238095,4.622222222222223,67.0047619047619,5.841666666666667,22.5,79.17380952380952,30.694444444444443,87.15
Delaware,0.0,35.30869565217392,32.16,31.945,8.569230769230769,80.90555555555555,4.7303030303030305,62.800000000000004,6.093333333333334,23.48857142857143,76.51142857142857,38.38666666666666,82.50666666666666
Delaware,1.0,50.055,40.256,29.119999999999997,9.533333333333333,63.093333333333334,4.756666666666666,72.02666666666667,5.940740740740741,22.686666666666667,77.31333333333333,27.566666666666666,93.32
Delaware,2.0,41.733333333333334,36.24333333333333,30.380000000000003,8.975,73.53888888888889,4.855555555555556,66.86666666666666,6.093939393939394,24.549999999999997,75.44999999999999,32.81333333333333,87.40625
District of Columbia,0.0,28.794999999999998,30.116,36.01176470588236,10.013333333333332,83.15333333333334,4.1866666666666665,63.67333333333333,5.3966666666666665,19.66896551724138,80.85,49.425000000000004,82.87333333333332
District of Columbia,1.0,46.06,38.584,29.619999999999997,11.18,67.26,4.48,73.33333333333333,5.296666666666667,21.503333333333334,78.49666666666667,31.364285714285717,91.35333333333332
District of Columbia,2.0,35.766666666666666,33.94814814814815,31.235000000000003,10.573333333333332,77.25882352941177,4.367741935483871,67.4764705882353,5.363333333333333,20.7375,79.05151515151515,37.49285714285714,87.44666666666667
Florida,0.0,32.76,36.85454545454546,41.237500000000004,9.81875,75.22380952380952,5.5948717948717945,60.0047619047619,7.656756756756757,26.5,74.91538461538461,43.67777777777778,80.6421052631579
Florida,1.0,48.832,45.99090909090909,37.2,9.464285714285714,61.023809523809526,5.673684210526315,69.87142857142857,6.424324324324324,29.023076923076925,72.26666666666667,34.916666666666664,94.13157894736842
Florida,2.0,41.14074074074074,41.411764705882355,38.644,9.34736842105263,68.82083333333334,5.71,65.32083333333334,7.327500000000001,26.94871794871795,73.88510638297872,38.44444444444444,88.5
Georgia,0.0,34.52272727272727,33.43793103448276,40.0,11.520000000000001,75.89444444444445,5.055882352941176,62.12777777777777,7.180645161290323,26.52285714285714,73.47714285714285,41.06666666666667,87.02666666666667
Georgia,1.0,50.005,45.03076923076923,35.325,9.3,57.88125,5.470967741935484,71.4625,6.596666666666667,28.4741935483871,71.52580645161291,30.10666666666667,94.8
Georgia,2.0,40.625,39.08125,37.765,10.3125,67.19,5.550000000000001,63.9,6.86875,28.60810810810811,71.39189189189189,35.78,89.95294117647059
Guam,0.0,28.305555555555557,34.7,40.64375,5.983333333333333,81.64999999999999,4.696000000000001,54.457142857142856,7.195833333333333,25.683333333333334,75.81481481481481,37.78333333333333,81.06666666666666
Guam,1.0,37.49411764705882,51.059090909090905,38.660000000000004,7.4,61.8,5.409090909090909,45.29230769230769,7.105882352941176,31.7,69.41538461538461,26.27142857142857,88.66363636363636
Guam,2.0,33.49130434782609,38.38275862068965,39.39375,6.2,76.25555555555555,5.013333333333334,54.28333333333333,6.944,27.513793103448275,74.75,33.541666666666664,84.11538461538461
Hawaii,0.0,27.383333333333336,24.0,26.54090909090909,8.3875,89.52222222222223,4.169444444444444,56.78888888888889,5.747222222222223,17.211111111111112,82.78888888888889,25.1125,80.26111111111112
Hawaii,1.0,42.00833333333333,37.64,25.271428571428572,8.3,78.01666666666667,4.411111111111111,62.26111111111111,5.235294117647059,20.85,79.15,17.3375,90.71666666666667
Hawaii,2.0,34.40833333333333,30.663333333333334,26.679166666666664,8.588888888888889,84.33333333333333,4.294444444444444,59.166666666666664,5.572222222222222,18.916666666666668,81.08333333333333,22.394444444444446,85.94999999999999
Idaho,0.0,33.46,29.336,31.825000000000003,10.441666666666666,83.46666666666667,4.9896551724137925,67.32666666666667,6.175,24.006666666666668,75.99333333333334,27.125,73.325
Idaho,1.0,49.675,42.17,26.54375,11.116666666666667,69.15833333333333,5.154166666666667,78.375,6.5375000000000005,21.0,79.0,19.375,89.14166666666667
Idaho,2.0,39.464999999999996,36.28076923076923,31.8,10.775,75.8625,5.260000000000001,70.7625,6.189655172413793,24.89032258064516,75.10967741935484,24.207692307692305,80.75
Illinois,0.0,33.0304347826087,29.36551724137931,30.857894736842102,8.606666666666666,82.75882352941177,5.06,64.81176470588235,5.768571428571429,24.554285714285715,75.44571428571429,34.15333333333333,81.80588235294118
Illinois,1.0,49.834782608695654,41.978571428571435,33.03,9.228571428571428,64.475,5.408823529411765,72.4125,5.66,29.61176470588235,70.38823529411764,26.613333333333333,92.46875
Illinois,2.0,39.624,34.29677419354839,37.12608695652174,9.064705882352941,77.965,5.113888888888889,67.27894736842104,5.717142857142857,26.9027027027027,74.4625,32.55882352941177,87.16666666666667
Indiana,0.0,38.208333333333336,34.99354838709677,40.99473684210526,11.953333333333335,76.61176470588236,5.865714285714286,59.93333333333333,6.84516129032258,27.355555555555554,72.64444444444445,35.50714285714286,85.81875
Indiana,1.0,52.795,42.9,36.30526315789474,10.192307692307692,58.126666666666665,5.513333333333334,73.55333333333333,5.7379310344827585,27.34333333333333,72.65666666666667,25.585714285714285,93.18666666666667
Indiana,2.0,43.732,39.146875,40.58181818181818,11.08,68.12,5.8315789473684205,63.77,6.518181818181818,29.615384615384617,70.38461538461539,32.870588235294115,89.04705882352941
Iowa,0.0,33.13157894736842,25.88695652173913,29.2,9.141666666666667,83.04666666666667,4.114814814814815,70.10666666666665,5.45,21.096551724137928,78.90344827586206,25.641666666666666,81.44166666666666
Iowa,1.0,49.89375,39.54,26.04375,8.700000000000001,68.15833333333333,4.308333333333334,79.075,5.2,19.954166666666666,80.04583333333333,17.650000000000002,92.89999999999999
Iowa,2.0,40.00416666666667,33.9448275862069,27.40625,8.933333333333334,75.6,4.5125,69.76666666666667,5.3374999999999995,24.98611111111111,75.01388888888889,21.191666666666666,87.46153846153847
Kansas,0.0,36.669230769230765,32.3,35.864999999999995,11.52142857142857,79.82777777777778,4.96578947368421,65.52777777777777,6.220588235294118,24.13684210526316,75.86315789473684,33.54375,81.22222222222223
Kansas,1.0,48.623999999999995,44.906451612903226,34.83809523809524,10.075000000000001,66.94444444444444,5.126470588235295,72.21666666666667,5.583333333333333,26.61388888888889,73.6054054054054,25.633333333333333,93.06875
Kansas,2.0,42.67777777777778,39.561764705882354,35.72692307692308,11.889473684210527,73.11,5.209756097560976,67.3,6.12972972972973,25.95609756097561,74.54186046511629,31.725,87.095
Kentucky,0.0,46.69,44.14,46.16842105263158,13.330769230769231,69.17333333333333,6.843333333333334,58.34666666666667,8.517857142857142,31.096666666666668,68.90333333333334,43.22,87.5
Kentucky,1.0,55.515,52.023999999999994,41.03157894736842,11.75,52.513333333333335,6.7266666666666675,67.77333333333334,7.041379310344827,34.419999999999995,65.58,34.233333333333334,94.44
Kentucky,2.0,50.53,47.523999999999994,43.94,12.385714285714286,61.6125,6.736666666666666,62.04705882352941,7.763333333333334,33.13548387096775,66.66875,38.873333333333335,91.02
Louisiana,0.0,39.175,39.768,45.545,11.613333333333333,72.28,6.069999999999999,62.193333333333335,7.663333333333333,29.346666666666668,70.65333333333334,46.32,87.54666666666667
Louisiana,1.0,54.85,49.276,42.88,11.226666666666667,56.76,6.3,70.80666666666666,7.196666666666667,33.8,66.2,37.94666666666667,93.80666666666666
Louisiana,2.0,45.78181818181818,43.653571428571425,44.06,11.493333333333334,69.27777777777777,6.036363636363636,65.27777777777777,7.47,30.58823529411765,69.41176470588235,41.96666666666667,90.64666666666668
Maine,0.0,39.025,27.310000000000002,31.10625,11.091666666666667,77.44166666666666,4.945833333333334,66.46666666666667,6.566666666666666,19.104166666666668,80.89583333333333,27.458333333333332,79.89166666666667
Maine,1.0,51.252941176470586,39.7952380952381,25.95,10.233333333333333,62.26666666666667,4.691666666666666,74.64999999999999,5.579166666666667,21.072,78.928,18.016666666666666,90.35000000000001
Maine,2.0,46.614999999999995,35.50769230769231,29.694117647058825,10.700000000000001,67.45,5.453333333333333,67.02499999999999,6.141666666666667,23.34,76.89354838709677,22.608333333333334,84.73076923076923
Maryland,0.0,29.403846153846153,25.400000000000002,28.110000000000003,9.12,86.16666666666667,4.02,60.72380952380953,5.3999999999999995,18.424324324324324,82.16190476190476,30.953333333333333,86.18
Maryland,1.0,48.08846153846154,34.978125,27.355,8.733333333333333,69.05238095238094,4.567741935483871,73.71428571428571,5.4,22.733333333333334,78.7025,23.813333333333333,93.55333333333333
Maryland,2.0,37.089285714285715,30.26842105263158,27.81904761904762,9.011764705882353,77.73913043478261,4.357777777777778,64.66956521739131,5.359459459459459,20.87727272727273,79.42666666666666,29.45625,88.7
Massachusetts,0.0,32.225,29.05666666666667,28.900000000000002,10.092857142857143,80.85555555555555,4.763636363636364,62.166666666666664,5.774193548387097,20.81764705882353,79.36944444444445,30.22307692307692,82.55
Massachusetts,1.0,50.85833333333333,46.37,27.744444444444444,9.8,60.90555555555555,5.151515151515151,68.71666666666667,5.823076923076924,26.852941176470587,73.42222222222222,24.116666666666664,93.62941176470588
Massachusetts,2.0,39.436,36.30333333333333,33.61304347826087,10.413333333333332,74.325,4.930555555555555,65.4857142857143,5.8500000000000005,23.044444444444444,78.35121951219513,33.04117647058824,88.75
Michigan,0.0,43.06666666666666,35.01481481481481,36.93,13.90625,77.54705882352941,6.03939393939394,58.252941176470586,7.213333333333334,25.227272727272727,74.77272727272727,38.79333333333333,82.75333333333333
Michigan,1.0,55.99047619047619,43.75384615384615,32.0,10.866666666666667,63.81333333333334,5.467741935483871,71.91333333333334,6.42,25.45483870967742,74.54516129032258,26.673333333333336,92.48
Michigan,2.0,48.352,39.73939393939394,35.2,13.294117647058824,72.49,5.931578947368421,62.98,7.14375,26.26842105263158,74.11282051282052,34.275,87.33125
Midwest,0.0,35.0625,32.7375,38.153125,11.42608695652174,79.16666666666667,5.568085106382979,61.85,6.847916666666666,25.882978723404257,74.48541666666667,36.5875,82.49583333333334
Midwest,1.0,49.94375,43.805,37.34666666666667,9.768181818181818,63.59583333333333,5.67608695652174,69.45416666666667,6.1312500000000005,28.74042553191489,71.62708333333333,28.95909090909091,93.0625
Midwest,2.0,40.840625,37.160000000000004,38.26129032258064,10.830434782608695,73.21249999999999,5.5062500000000005,64.96666666666667,6.5687500000000005,26.660416666666666,73.33958333333334,33.96363636363637,87.32083333333333
Minnesota,0.0,30.50357142857143,30.008823529411764,27.16875,10.2375,83.68333333333334,4.723809523809524,65.13478260869564,5.722222222222222,22.633333333333333,78.03777777777778,23.849999999999998,82.5
Minnesota,1.0,46.294444444444444,40.74166666666667,25.025,8.674999999999999,73.1,4.3730769230769235,78.42857142857143,5.179166666666666,20.560714285714287,79.43928571428572,17.849999999999998,92.41666666666667
Minnesota,2.0,35.99310344827586,34.45789473684211,32.5,10.34736842105263,78.46249999999999,4.741860465116279,68.54583333333333,5.8625,23.714285714285715,77.49583333333334,26.5875,86.83
Mississippi,0.0,41.85,44.044,49.105000000000004,13.34,64.62,6.45,63.080000000000005,8.27,32.72666666666667,67.27333333333334,50.81333333333334,88.84666666666666
Mississippi,1.0,54.95,55.068000000000005,46.175,10.473333333333333,47.82,6.336666666666667,72.47333333333333,6.7266666666666675,37.10333333333333,62.89666666666667,37.35333333333333,94.93333333333334
Mississippi,2.0,47.655,49.088,47.565,12.073333333333332,57.16,6.3966666666666665,67.34666666666666,7.64,34.65,65.35,43.973333333333336,91.82
Missouri,0.0,39.589999999999996,36.5,39.315,11.207142857142857,75.90666666666667,5.73,64.5,7.766666666666667,25.583333333333332,74.41666666666667,38.28,84.44
Missouri,1.0,53.7,47.824,35.769999999999996,10.553846153846154,56.55333333333333,5.5633333333333335,74.60666666666665,6.59,27.89,72.11,26.573333333333334,94.2
Missouri,2.0,45.904761904761905,41.275862068965516,37.495,10.853333333333333,68.8157894736842,5.6625,68.07894736842105,7.326666666666667,26.80606060606061,73.35882352941177,32.406666666666666,89.64
Montana,0.0,37.71,33.796,37.06315789473685,13.385714285714286,76.94666666666667,5.63,67.44,7.22,23.48,76.52,33.653333333333336,77.36666666666666
Montana,1.0,50.305,50.532,29.22631578947368,10.899999999999999,61.026666666666664,5.448275862068965,76.52666666666667,7.0793103448275865,23.683333333333334,76.31666666666666,22.90666666666667,89.34666666666666
Montana,2.0,43.80869565217392,41.11333333333334,33.495,12.386666666666667,70.48888888888888,5.724242424242425,71.22777777777777,7.180000000000001,24.546875,75.9,28.66,83.86666666666666
