LocationDesc,AgeGroup,Binge drinking within past 30 days,Current smoking
Alabama,0.0,10.083333333333334,22.173333333333336
Alabama,1.0,3.62,10.57
Alabama,2.0,7.153333333333333,18.293939393939397
Alaska,0.0,14.879310344827585,22.96333333333333
Alaska,1.0,7.3549999999999995,11.055555555555555
Alaska,2.0,12.043333333333333,18.63
Arizona,0.0,12.209677419354838,16.96969696969697
Arizona,1.0,5.092307692307693,9.203448275862069
Arizona,2.0,9.042424242424241,14.044736842105264
Arkansas,0.0,10.88888888888889,24.040000000000003
Arkansas,1.0,3.4181818181818184,11.082142857142857
Arkansas,2.0,7.307142857142857,19.451612903225808
California,0.0,12.784375,12.988888888888889
California,1.0,6.0928571428571425,5.764285714285714
California,2.0,9.9,10.05
Colorado,0.0,13.139999999999999,16.529411764705884
Colorado,1.0,4.479166666666667,9.625
Colorado,2.0,9.693333333333333,14.913157894736843
Connecticut,0.0,12.785294117647059,15.616666666666667
Connecticut,1.0,4.988,7.521428571428571
Connecticut,2.0,9.48,12.675
Delaware,0.0,13.289285714285715,19.603225806451615
Delaware,1.0,5.1375,9.346153846153847
Delaware,2.0,9.34,15.129032258064516
District of Columbia,0.0,14.913333333333332,19.853333333333335
District of Columbia,1.0,6.319999999999999,10.427586206896551
District of Columbia,2.0,11.110000000000001,15.633333333333333
Florida,0.0,13.875862068965516,19.98918918918919
Florida,1.0,5.526923076923077,9.41
Florida,2.0,9.155882352941177,15.24871794871795
Georgia,0.0,10.92,19.193548387096776
Georgia,1.0,4.025,9.973333333333333
Georgia,2.0,8.003225806451614,15.10909090909091
Guam,0.0,18.081818181818182,27.58
Guam,1.0,10.26,13.858333333333334
Guam,2.0,14.952,23.25862068965517
Hawaii,0.0,15.180555555555555,12.600000000000001
Hawaii,1.0,6.85,6.489999999999999
Hawaii,2.0,11.516666666666667,10.019444444444444
Idaho,0.0,12.354166666666666,16.004166666666666
Idaho,1.0,5.6125,8.1875
Idaho,2.0,9.179166666666665,12.572000000000001
Illinois,0.0,15.11176470588235,17.703030303030303
Illinois,1.0,5.629166666666666,10.57
Illinois,2.0,11.264705882352942,14.494117647058824
Indiana,0.0,13.267857142857142,25.171875
Indiana,1.0,4.541666666666667,11.648275862068965
Indiana,2.0,9.746666666666666,19.820588235294117
Iowa,0.0,17.466666666666665,18.150000000000002
Iowa,1.0,5.325,8.65
Iowa,2.0,11.776923076923076,15.218518518518518
Kansas,0.0,12.700000000000001,22.00277777777778
Kansas,1.0,4.020833333333333,9.913793103448276
Kansas,2.0,8.984375,17.743589743589745
Kentucky,0.0,11.08,27.013793103448275
Kentucky,1.0,4.09047619047619,12.520833333333334
Kentucky,2.0,7.838461538461539,20.89
Louisiana,0.0,14.686666666666667,24.25
Louisiana,1.0,6.207999999999999,12.020000000000001
Louisiana,2.0,10.933333333333334,18.936666666666667
Maine,0.0,13.170833333333334,18.870833333333334
Maine,1.0,4.970833333333333,8.120833333333334
Maine,2.0,9.395833333333334,16.174074074074074
Maryland,0.0,11.048387096774194,15.643333333333334
Maryland,1.0,4.337931034482758,8.086666666666666
Maryland,2.0,8.22258064516129,13.980555555555556
Massachusetts,0.0,14.758333333333333,16.352941176470587
Massachusetts,1.0,5.773913043478261,8.379166666666666
Massachusetts,2.0,10.723076923076924,13.308333333333334
Michigan,0.0,15.173333333333334,22.92258064516129
Michigan,1.0,6.37037037037037,10.96
Michigan,2.0,11.28,18.94857142857143
Midwest,0.0,13.673913043478262,22.226086956521737
Midwest,1.0,5.780487804878049,11.664444444444444
Midwest,2.0,10.458695652173914,18.006521739130434
Minnesota,0.0,16.62,21.83076923076923
Minnesota,1.0,5.941666666666666,8.812000000000001
Minnesota,2.0,11.878125,18.035714285714285
Mississippi,0.0,10.136666666666667,25.383333333333333
Mississippi,1.0,3.2409090909090907,11.366666666666667
Mississippi,2.0,6.963333333333334,19.07
Missouri,0.0,14.110000000000001,23.42
Missouri,1.0,4.895652173913043,11.256666666666666
Missouri,2.0,9.85,18.136666666666667
Montana,0.0,15.292307692307693,22.833333333333332
Montana,1.0,6.4624999999999995,12.866666666666667
Montana,2.0,11.162068965517241,18.883870967741935
Nebraska,0.0,15.803703703703704,21.255000000000003
Nebraska,1.0,5.533333333333334,8.484
Nebraska,2.0,11.392857142857142,17.54390243902439
Nevada,0.0,12.88,19.11785714285714
Nevada,1.0,6.0,12.15
Nevada,2.0,9.569230769230769,16.3375
New Hampshire,0.0,13.5875,15.491666666666667
New Hampshire,1.0,5.120833333333334,7.183333333333334
New Hampshire,2.0,9.929166666666667,11.891666666666666
New Jersey,0.0,12.737037037037036,15.714285714285714
New Jersey,1.0,5.455,7.920833333333333
New Jersey,2.0,9.364285714285714,12.682758620689656
New Mexico,0.0,10.870000000000001,17.559375
New Mexico,1.0,4.162962962962963,10.076666666666666
New Mexico,2.0,7.61,13.537142857142857
New York,0.0,12.905555555555557,16.58648648648649
New York,1.0,5.747999999999999,8.011764705882353
New York,2.0,9.627777777777778,13.0375
North Carolina,0.0,10.506896551724138,20.748387096774195
North Carolina,1.0,4.586956521739131,10.41
North Carolina,2.0,7.919354838709677,17.174285714285716
North Dakota,0.0,18.21153846153846,23.816666666666666
North Dakota,1.0,5.7749999999999995,9.545833333333333
North Dakota,2.0,12.907692307692308,19.37
Northeast,0.0,12.992500000000001,19.00851063829787
Northeast,1.0,5.15945945945946,9.165000000000001
Northeast,2.0,9.452380952380953,14.741666666666667
Ohio,0.0,13.592857142857143,24.576666666666664
Ohio,1.0,5.072,12.216666666666667
Ohio,2.0,9.546666666666665,20.448484848484846
Oklahoma,0.0,9.612499999999999,24.267567567567568
Oklahoma,1.0,3.090909090909091,13.100000000000001
Oklahoma,2.0,6.776923076923077,19.317948717948717
Oregon,0.0,12.883333333333333,17.584
Oregon,1.0,5.679166666666667,8.808333333333334
Oregon,2.0,9.441666666666666,13.368
Pennsylvania,0.0,14.810344827586206,21.770967741935483
Pennsylvania,1.0,5.4750000000000005,10.49655172413793
Pennsylvania,2.0,10.47,16.919354838709676
Puerto Rico,0.0,10.179166666666667,12.3125
Puerto Rico,1.0,6.563157894736842,4.7375
Puerto Rico,2.0,7.908333333333334,8.725
Rhode Island,0.0,12.892000000000001,17.418518518518518
Rhode Island,1.0,4.843478260869565,7.966666666666666
Rhode Island,2.0,9.296,13.924137931034483
South,0.0,11.25,20.21914893617021
South,1.0,4.6000000000000005,10.502173913043478
South,2.0,8.408695652173913,16.05531914893617
South Carolina,0.0,12.916666666666666,21.9
South Carolina,1.0,4.751724137931035,10.003333333333334
South Carolina,2.0,9.123333333333333,17.019354838709678
South Dakota,0.0,15.628,23.11
South Dakota,1.0,4.877272727272727,12.748275862068965
South Dakota,2.0,10.646153846153847,18.793333333333333
Tennessee,0.0,8.903571428571428,25.886666666666667
Tennessee,1.0,3.4899999999999998,13.1
Tennessee,2.0,6.413333333333333,20.32
Texas,0.0,13.102941176470589,17.586111111111112
Texas,1.0,5.724,8.5
Texas,2.0,10.102857142857143,14.100000000000001
"United States, DC & Territories",0.0,11.897916666666667,18.818749999999998
"United States, DC & Territories",1.0,4.870212765957447,9.568085106382979
"United States, DC & Territories",2.0,8.933333333333334,14.945833333333333
Utah,0.0,8.244,10.018518518518519
Utah,1.0,2.441666666666667,4.433333333333334
Utah,2.0,5.729629629629629,8.056666666666667
Vermont,0.0,13.345833333333333,15.608333333333334
Vermont,1.0,4.708333333333333,7.766666666666667
Vermont,2.0,9.362499999999999,13.663999999999998
Virgin Islands,0.0,18.759999999999998,15.75
Virgin Islands,2.0,12.780000000000001,9.6
Virginia,0.0,11.81,17.77
Virginia,1.0,3.975,9.479999999999999
Virginia,2.0,8.383333333333333,14.76875
Washington,0.0,12.423333333333334,16.962857142857143
Washington,1.0,5.2250000000000005,7.495833333333334
Washington,2.0,9.735483870967743,14.695121951219512
West,0.0,11.727659574468086,15.404255319148936
West,1.0,5.088636363636364,8.034782608695652
West,2.0,8.985106382978724,12.216666666666667
West Virginia,0.0,8.979166666666666,27.103846153846156
West Virginia,1.0,3.19,11.8375
West Virginia,2.0,6.004166666666666,20.66551724137931
Wisconsin,0.0,20.129166666666666,21.50689655172414
Wisconsin,1.0,8.591666666666667,8.291666666666666
Wisconsin,2.0,15.488888888888889,17.654838709677417
Wyoming,0.0,12.575000000000001,19.334615384615383
Wyoming,1.0,4.5375000000000005,9.762500000000001
Wyoming,2.0,8.975,15.322222222222221
